"word","category","category_reason","definition"
"abutment","2","uncommon or archaic (low frequency)","point of contact between two objects or parts"
"abutments","2","uncommon or archaic (low frequency)","point of contact between two objects or parts"
"abuts","2","uncommon or archaic (low frequency)","lie adjacent to another or share a boundary"
"abutted","2","uncommon or archaic (low frequency)","lie adjacent to another or share a boundary"
"abutters","2","uncommon or archaic (low frequency)","the owner of contiguous property"
"abutting","2","uncommon or archaic (low frequency)","lie adjacent to another or share a boundary"
"abuzz","2","uncommon or archaic (low frequency)","noisy like the sound of a bee"
"aby","2","uncommon or archaic (low frequency)","make amends for"
"abysmal","2","uncommon or archaic (low frequency)","very great; limitless"
"abysmally","2","uncommon or archaic (low frequency)","in a terrible manner"
"abyss","2","uncommon or archaic (low frequency)","a bottomless gulf or pit; any unfathomable (or apparently unfathomable) cavity or chasm or void extending below (often used figuratively)"
"abyssal","2","uncommon or archaic (low frequency)","relating to ocean depths from 2000 to 5000 meters"
"abysses","2","uncommon or archaic (low frequency)","a bottomless gulf or pit; any unfathomable (or apparently unfathomable) cavity or chasm or void extending below (often used figuratively)"
"abyssinian","2","uncommon or archaic (low frequency)","a small slender short-haired breed of African origin having brownish fur with a reddish undercoat"
"abyssinians","2","uncommon or archaic (low frequency)","a small slender short-haired breed of African origin having brownish fur with a reddish undercoat"
"acacia","2","uncommon or archaic (low frequency)","any of various spiny trees or shrubs of the genus Acacia"
"acacias","2","uncommon or archaic (low frequency)","any of various spiny trees or shrubs of the genus Acacia"
"academe","2","uncommon or archaic (low frequency)","the academic world"
"academia","1","common english (recognizable)","the academic world"
"academic","1","common english (recognizable)","an educator who works at a college or university"
"academically","2","uncommon or archaic (low frequency)","in regard to academic matters"
"academician","2","uncommon or archaic (low frequency)","someone elected to honorary membership in an academy"
"academicians","2","uncommon or archaic (low frequency)","someone elected to honorary membership in an academy"
"academicism","2","uncommon or archaic (low frequency)","orthodoxy of a scholastic variety"
"academics","1","common english (recognizable)","an educator who works at a college or university"
"academies","2","uncommon or archaic (low frequency)","a secondary school (usually private)"
"academy","1","common english (recognizable)","a secondary school (usually private)"
"acanthaceae","2","uncommon or archaic (low frequency)","widely distributed herbs and shrubs and trees; sometimes placed in the order Scrophulariales"
"acanthocephala","2","uncommon or archaic (low frequency)","phylum or class of elongated wormlike parasites that live in the intestines of vertebrates: spiny-headed worms"
"acanthosis","2","uncommon or archaic (low frequency)","an abnormal but benign thickening of the prickle-cell layer of the skin (as in psoriasis)"
"acanthus","2","uncommon or archaic (low frequency)","any plant of the genus Acanthus having large spiny leaves and spikes or white or purplish flowers; native to Mediterranean region but widely cultivated"
"acari","2","uncommon or archaic (low frequency)","any of several mites of the order Acarina"
"acaricide","2","uncommon or archaic (low frequency)","a chemical agent used to kill mites"
"acaricides","2","uncommon or archaic (low frequency)","a chemical agent used to kill mites"
"accede","2","uncommon or archaic (low frequency)","yield to another's wish or opinion"
"acceded","2","uncommon or archaic (low frequency)","yield to another's wish or opinion"
"accedes","2","uncommon or archaic (low frequency)","yield to another's wish or opinion"
"acceding","2","uncommon or archaic (low frequency)","yield to another's wish or opinion"
"accelerando","2","uncommon or archaic (low frequency)","a gradually increasing tempo of music"
"accelerate","1","common english (recognizable)","move faster"
"accelerated","1","common english (recognizable)","move faster"
"accelerates","2","uncommon or archaic (low frequency)","move faster"
"accelerating","2","uncommon or archaic (low frequency)","move faster"
"acceleration","1","common english (recognizable)","an increase in rate of change"
"accelerations","2","uncommon or archaic (low frequency)","an increase in rate of change"
"accelerative","2","uncommon or archaic (low frequency)","tending to increase velocity"
"accelerator","2","uncommon or archaic (low frequency)","a pedal that controls the throttle valve"
"accelerators","2","uncommon or archaic (low frequency)","a pedal that controls the throttle valve"
